Year,Primary
1744,80.07606268
1745,80.03069162
1746,79.9854219
1747,79.94029522
1748,79.89488244
1749,79.84963655
1750,79.80442643
1751,79.76245284
1752,79.72024679
1753,79.67796326
1754,79.6354115
1755,79.59322929
1756,79.55085635
1757,79.50825095
1758,79.46583033
1759,79.42316532
1760,79.38051224
1761,79.33624983
1762,79.29216027
1763,79.24776673
1764,79.20351028
1765,79.15875912
1766,79.11423445
1767,79.06956673
1768,79.02482748
1769,78.98011804
1770,78.93523574
1771,78.87793779
1772,78.82000208
1773,78.76204848
1774,78.70405316
1775,78.6462307
1776,78.58828902
1777,78.5307169
1778,78.4724474
1779,78.41431499
1780,78.35635543
1781,78.3046782
1782,78.25282216
1783,78.20053101
1784,78.1483531
1785,78.09610963
1786,78.0436933
1787,77.98932195
1788,77.92385817
1789,77.86870003
1790,77.81326771
1791,77.75984406
1792,77.70603895
1793,77.65194774
1794,77.59774327
1795,77.54328847
1796,77.48882174
1797,77.43340135
1798,77.3781538
1799,77.32249498
1800,77.26682425
1801,77.19133496
1802,77.11609006
1803,77.04120874
1804,76.96630955
1805,76.89165473
1806,76.81708336
1807,76.74208879
1808,76.6677022
1809,76.59339905
1810,76.51863694
1811,76.45566463
1812,76.39235258
1813,76.32920742
1814,76.26587749
1815,76.20255947
1816,76.13890171
1817,76.07511282
1818,76.01097226
1819,75.94667077
1820,75.88245273
1821,75.80366731
1822,75.72404146
1823,75.64435601
1824,75.56437254
1825,75.48424602
1826,75.40389895
1827,75.32374859
1828,75.2438128
1829,75.16352534
1830,75.0834465
1831,75.00047088
1832,74.91673231
1833,74.83281493
1834,74.74883795
1835,74.66492057
1836,74.5809257
1837,74.49669838
1838,74.41285849
1839,74.32849407
1840,74.2444396
1841,74.15965199
1842,74.07443523
1843,73.98992181
1844,73.90471101
1845,73.8199532
1846,73.73511195
1847,73.65076542
1848,73.56624007
1849,73.48222733
1850,73.3982265
1851,73.30051661
1852,73.20339084
1853,73.10612798
1854,73.00866246
1855,72.91159034
1856,72.81486392
1857,72.7178812
1858,72.62018919
1859,72.52233624
1860,72.42488861
1861,72.34293818
1862,72.26140499
1863,72.17989564
1864,72.09811211
1865,72.01631665
1866,71.93419933
1867,71.85256481
1868,71.77084088
1869,71.68924809
1870,71.60737514
1871,71.45786881
1872,71.30755186
1873,71.15739584
1874,71.006459
1875,70.85555196
1876,70.70433497
1877,70.55312991
1878,70.40179968
1879,70.25004029
1880,70.09890079
1881,69.95249987
1882,69.80375648
1883,69.65520382
1884,69.50604916
1885,69.35636401
1886,69.20669675
1887,69.05732751
1888,68.90743375
1889,68.75754595
1890,68.6068058
1891,68.39788556
1892,68.18612814
1893,67.97414422
1894,67.76218414
1895,67.54984856
1896,67.33711958
1897,67.12417006
1898,66.91009402
1899,66.696316
1900,66.48280025
1901,66.27291441
1902,66.05930924
1903,65.8451438
1904,65.63026309
1905,65.41469097
1906,65.19867778
1907,64.98237252
1908,64.76488709
1909,64.54789639
1910,64.32977915
1911,64.12163377
1912,63.91154528
1913,63.70194554
1914,63.49102259
1915,63.28186393
1916,63.07175756
1917,62.86149025
1918,62.6509726
1919,62.44053841
1920,62.23018169
1921,61.99482679
1922,61.75745726
1923,61.51906848
1924,61.28089428
1925,61.04204059
1926,60.80321074
1927,60.56412458
1928,60.32459736
1929,60.08518338
1930,59.84668136
1931,59.55909491
1932,59.26836729
1933,58.97769928
1934,58.68626833
1935,58.39540958
1936,58.10374022
1937,57.81103969
1938,57.51943588
1939,57.22666383
1940,56.93507195
1941,56.61855936
1942,56.29389882
1943,55.9696734
1944,55.64485788
1945,55.31971455
1946,54.99436259
1947,54.67023849
1948,54.34572101
1949,54.0209651
1950,53.69824767
1951,53.27651501
1952,52.84404755
1953,52.41292715
1954,51.97854042
1955,51.54241323
1956,51.10593438
1957,50.66894889
1958,50.23336411
1959,49.79902804
1960,49.36574101
1961,49.16754961
1962,48.97334874
1963,48.77728224
1964,48.5798955
1965,48.37987423
1966,48.17796648
1967,47.97258377
1968,47.76678085
1969,47.56092429
1970,47.35459685
1971,47.15997875
1972,46.96624875
1973,46.77277803
1974,46.57875001
1975,46.3863939
1976,46.19653821
1977,46.00577652
1978,45.81674337
1979,45.6281811
1980,45.44048309
1981,45.21988928
1982,45.00029087
1983,44.78229582
1984,44.56347823
1985,44.34068799
1986,44.11932528
1987,43.8939333
1988,43.66703629
1989,43.44058633
1990,43.2159096
1991,43.01809669
1992,42.82219112
1993,42.63255596
1994,42.44630635
1995,42.26365089
1996,42.08038747
1997,41.89804196
1998,41.71335101
1999,41.53108597
2000,41.3472414
2001,41.14418626
2002,40.98812938
2003,40.8098042
2004,40.61895013
2005,40.44853747
2006,40.29586911
2007,40.15226364
2008,40.0067836
2009,39.8535192
2010,39.58080709
2011,39.37319517
2012,39.1964823
2013,38.99496496
2014,38.78823817
2015,38.58423233
